# alfa=-1 beta=3 gamma=1.5 omega=0.6 k=0
3.17 -0.532505 -0.969872 0.446845 0.0487222
3.18 -0.528014 -0.969383 0.450711 0.0663458
3.19 -0.523484 -0.968716 0.454592 0.0839175
3.2 -0.518915 -0.967872 0.458489 0.101424
3.21 -0.514308 -0.966853 0.462404 0.118853
3.22 -0.50966 -0.965659 0.466337 0.136191
3.23 -0.504974 -0.96429 0.47029 0.153426
3.24 -0.500247 -0.962748 0.474264 0.170545
3.25 -0.495481 -0.961034 0.47826 0.187536
3.26 -0.490674 -0.959149 0.482281 0.204387
3.27 -0.485827 -0.957095 0.486326 0.221086
3.28 -0.480939 -0.954873 0.490397 0.237622
3.29 -0.476011 -0.952485 0.494497 0.253984
3.3 -0.471041 -0.949932 0.498626 0.27016
3.31 -0.46603 -0.947217 0.502785 0.286141
3.32 -0.460977 -0.944341 0.506977 0.301917
3.33 -0.455881 -0.941307 0.511202 0.317477
3.34 -0.450744 -0.938116 0.515463 0.332812
3.35 -0.445563 -0.934772 0.519761 0.347913
3.36 -0.44034 -0.931275 0.524096 0.362772
3.37 -0.435072 -0.927629 0.528472 0.377381
3.38 -0.429761 -0.923836 0.53289 0.391732
3.39 -0.424405 -0.919899 0.537351 0.405817
3.4 -0.419005 -0.915821 0.541856 0.419631
3.41 -0.413559 -0.911603 0.546408 0.433166
3.42 -0.408068 -0.90725 0.551009 0.446416
3.43 -0.40253 -0.902764 0.555659 0.459377
3.44 -0.396946 -0.898147 0.560361 0.472043
3.45 -0.391314 -0.893403 0.565116 0.48441
3.46 -0.385634 -0.888534 0.569927 0.496474
3.47 -0.379907 -0.883545 0.574795 0.508231
3.48 -0.37413 -0.878437 0.579722 0.519678
3.49 -0.368303 -0.873214 0.584709 0.530812
3.5 -0.362427 -0.867879 0.589759 0.541631
3.51 -0.3565 -0.862436 0.594873 0.552133
3.52 -0.350521 -0.856887 0.600053 0.562318
3.53 -0.344491 -0.851235 0.605302 0.572183
3.54 -0.338407 -0.845485 0.610621 0.581729
3.55 -0.33227 -0.839638 0.616012 0.590955
3.56 -0.326079 -0.833699 0.621477 0.599861
3.57 -0.319833 -0.82767 0.627017 0.608449
3.58 -0.313532 -0.821555 0.632636 0.616719
3.59 -0.307174 -0.815357 0.638334 0.624672
3.6 -0.300758 -0.809079 0.644115 0.632311
3.61 -0.294285 -0.802724 0.649979 0.639637
3.62 -0.287752 -0.796296 0.655929 0.646652
3.63 -0.28116 -0.789797 0.661967 0.65336
3.64 -0.274507 -0.783231 0.668095 0.659764
3.65 -0.267793 -0.7766 0.674316 0.665865
3.66 -0.261016 -0.769908 0.68063 0.671669
3.67 -0.254175 -0.763157 0.68704 0.677179
3.68 -0.247271 -0.756352 0.693549 0.682399
3.69 -0.2403 -0.749493 0.700158 0.687332
3.7 -0.233264 -0.742586 0.706869 0.691984
3.71 -0.226159 -0.735631 0.713684 0.696359
3.72 -0.218987 -0.728632 0.720606 0.700462
3.73 -0.211745 -0.721593 0.727637 0.704298
3.74 -0.204432 -0.714514 0.734778 0.707872
3.75 -0.197047 -0.7074 0.742031 0.711189
3.76 -0.18959 -0.700253 0.7494 0.714254
3.77 -0.182058 -0.693074 0.756885 0.717074
3.78 -0.174451 -0.685867 0.764488 0.719653
3.79 -0.166768 -0.678635 0.772213 0.721998
3.8 -0.159007 -0.671379 0.78006 0.724113
3.81 -0.151167 -0.664101 0.788031 0.726006
3.82 -0.143248 -0.656805 0.796129 0.727681
3.83 -0.135246 -0.649491 0.804356 0.729145
3.84 -0.127162 -0.642163 0.812713 0.730403
3.85 -0.118994 -0.634823 0.821201 0.731462
3.86 -0.110741 -0.627471 0.829824 0.732327
3.87 -0.102401 -0.620111 0.838582 0.733005
3.88 -0.0939735 -0.612745 0.847478 0.733502
3.89 -0.0854562 -0.605373 0.856513 0.733823
3.9 -0.0768481 -0.597998 0.865688 0.733974
3.91 -0.0681478 -0.590621 0.875005 0.733962
3.92 -0.0593538 -0.583245 0.884465 0.733791
3.93 -0.0504648 -0.57587 0.89407 0.733469
3.94 -0.0414793 -0.568498 0.903821 0.733001
3.95 -0.0323957 -0.561132 0.913719 0.732393
3.96 -0.0232127 -0.553771 0.923766 0.731649
3.97 -0.0139287 -0.546418 0.933962 0.730777
3.98 -0.00454221 -0.539073 0.944307 0.729781
3.99 0.00494824 -0.531739 0.954804 0.728667
4 0.0145442 -0.524416 0.965452 0.72744
4.01 0.0242471 -0.517105 0.976251 0.726106
4.02 0.0340586 -0.509807 0.987202 0.72467
4.03 0.0439802 -0.502524 0.998306 0.723138
4.04 0.0540133 -0.495257 1.00956 0.721513
4.05 0.0641596 -0.488005 1.02097 0.719801
4.06 0.0744205 -0.480771 1.03253 0.718008
4.07 0.0847975 -0.473555 1.04424 0.716137
4.08 0.0952923 -0.466358 1.0561 0.714194
4.09 0.105906 -0.45918 1.0681 0.712183
4.1 0.116641 -0.452022 1.08026 0.710109
4.11 0.127498 -0.444886 1.09256 0.707976
4.12 0.138478 -0.437771 1.105 0.705788
4.13 0.149583 -0.430677 1.11758 0.70355
4.14 0.160815 -0.423606 1.13031 0.701265
4.15 0.172175 -0.416559 1.14316 0.698939
4.16 0.183664 -0.409534 1.15615 0.696573
4.17 0.195284 -0.402533 1.16927 0.694174
4.18 0.207035 -0.395557 1.18251 0.691743
4.19 0.218919 -0.388605 1.19587 0.689286
4.2 0.230938 -0.381677 1.20934 0.686804
4.21 0.243092 -0.374775 1.22293 0.684303
4.22 0.255383 -0.367897 1.23661 0.681784
4.23 0.267811 -0.361045 1.25039 0.679252
4.24 0.280378 -0.354219 1.26426 0.676709
4.25 0.293084 -0.347418 1.27821 0.674158
4.26 0.30593 -0.340642 1.29223 0.671603
4.27 0.318917 -0.333893 1.30632 0.669046
4.28 0.332046 -0.327169 1.32046 0.666491
4.29 0.345317 -0.32047 1.33464 0.663938
4.3 0.35873 -0.313798 1.34885 0.661393
4.31 0.372286 -0.307151 1.36308 0.658856
4.32 0.385985 -0.300529 1.37732 0.65633
4.33 0.399828 -0.293933 1.39155 0.653818
4.34 0.413813 -0.287362 1.40576 0.651322
4.35 0.427941 -0.280816 1.41993 0.648844
4.36 0.442212 -0.274295 1.43405 0.646386
4.37 0.456624 -0.267799 1.4481 0.643951
4.38 0.471178 -0.261327 1.46206 0.641539
4.39 0.485872 -0.254879 1.47591 0.639154
4.4 0.500705 -0.248456 1.48963 0.636797
4.41 0.515676 -0.242056 1.5032 0.634469
4.42 0.530783 -0.235679 1.51659 0.632172
4.43 0.546025 -0.229326 1.52979 0.629909
4.44 0.5614 -0.222995 1.54277 0.62768
4.45 0.576905 -0.216687 1.5555 0.625487
4.46 0.592538 -0.2104 1.56795 0.623332
4.47 0.608296 -0.204136 1.58009 0.621215
4.48 0.624176 -0.197893 1.5919 0.619139
4.49 0.640175 -0.19167 1.60335 0.617103
4.5 0.656289 -0.185468 1.6144 0.615111
4.51 0.672514 -0.179286 1.62501 0.613162
4.52 0.688846 -0.173124 1.63516 0.611258
4.53 0.705279 -0.16698 1.6448 0.6094
4.54 0.72181 -0.160856 1.65391 0.607589
4.55 0.738432 -0.15475 1.66243 0.605825
4.56 0.75514 -0.148661 1.67034 0.60411
4.57 0.771927 -0.142589 1.67758 0.602445
4.58 0.788787 -0.136535 1.68412 0.60083
4.59 0.805712 -0.130496 1.68992 0.599266
4.6 0.822696 -0.124474 1.69492 0.597754
4.61 0.839731 -0.118466 1.6991 0.596295
4.62 0.856807 -0.112473 1.70239 0.594889
4.63 0.873916 -0.106495 1.70475 0.593536
4.64 0.891049 -0.100529 1.70614 0.592238
4.65 0.908196 -0.0945773 1.7065 0.590994
4.66 0.925347 -0.0886377 1.7058 0.589806
4.67 0.94249 -0.0827101 1.70398 0.588673
4.68 0.959615 -0.0767938 1.70099 0.587597
4.69 0.976711 -0.0708883 1.69678 0.586577
4.7 0.993764 -0.0649931 1.69131 0.585614
4.71 1.01076 -0.0591076 1.68453 0.584708
4.72 1.02769 -0.0532312 1.67639 0.58386
4.73 1.04454 -0.0473633 1.66684 0.583069
4.74 1.06129 -0.0415034 1.65585 0.582336
4.75 1.07793 -0.0356508 1.64336 0.581661
4.76 1.09445 -0.029805 1.62934 0.581044
4.77 1.11082 -0.0239654 1.61374 0.580485
4.78 1.12704 -0.0181315 1.59653 0.579985
4.79 1.14309 -0.0123025 1.57767 0.579543
4.8 1.15894 -0.00647803 1.55713 0.579159
4.81 1.17459 -0.000657389 1.53487 0.578834
4.82 1.19002 0.00515999 1.51087 0.578567
4.83 1.2052 0.0109747 1.48512 0.578358
4.84 1.22013 0.0167873 1.45758 0.578208
4.85 1.23478 0.0225984 1.42824 0.578115
