# alfa=-1 beta=3 gamma=1.5 omega=0.6 k=0
37.36 0.983106 0.60531 -0.578427 0.345414
37.37 0.977293 0.608782 -0.58294 0.344601
37.38 0.971434 0.612245 -0.587045 0.343708
37.39 0.965535 0.615699 -0.590747 0.342733
37.4 0.959597 0.619144 -0.594047 0.341675
37.41 0.953627 0.622578 -0.596951 0.340533
37.42 0.947628 0.626 -0.599464 0.339307
37.43 0.941603 0.62941 -0.601589 0.337995
37.44 0.935557 0.632807 -0.603333 0.336596
37.45 0.929493 0.63619 -0.604701 0.33511
37.46 0.923416 0.639558 -0.605698 0.333536
37.47 0.917329 0.64291 -0.606331 0.331872
37.48 0.911235 0.646245 -0.606605 0.330118
37.49 0.905138 0.649563 -0.606528 0.328273
37.5 0.899043 0.652862 -0.606106 0.326336
37.51 0.892951 0.656142 -0.605346 0.324308
37.52 0.886867 0.659401 -0.604254 0.322186
37.53 0.880795 0.662639 -0.602838 0.319971
37.54 0.874736 0.665855 -0.601106 0.317661
37.55 0.868695 0.669048 -0.599064 0.315257
37.56 0.862674 0.672216 -0.59672 0.312758
37.57 0.856677 0.675359 -0.594081 0.310164
37.58 0.850706 0.678476 -0.591156 0.307473
37.59 0.844765 0.681567 -0.587951 0.304687
37.6 0.838856 0.684629 -0.584475 0.301803
37.61 0.832982 0.687662 -0.580734 0.298824
37.62 0.827145 0.690665 -0.576738 0.295747
37.63 0.821349 0.693637 -0.572493 0.292574
37.64 0.815596 0.696578 -0.568007 0.289304
37.65 0.809887 0.699485 -0.563288 0.285937
37.66 0.804226 0.702359 -0.558343 0.282473
37.67 0.798614 0.705198 -0.55318 0.278913
37.68 0.793055 0.708001 -0.547806 0.275257
37.69 0.787549 0.710767 -0.54223 0.271505
37.7 0.7821 0.713496 -0.536458 0.267657
37.71 0.776708 0.716186 -0.530497 0.263714
37.72 0.771377 0.718837 -0.524356 0.259677
37.73 0.766107 0.721446 -0.51804 0.255545
37.74 0.7609 0.724015 -0.511558 0.251321
37.75 0.755759 0.72654 -0.504915 0.247003
37.76 0.750685 0.729023 -0.49812 0.242594
37.77 0.745679 0.731461 -0.491178 0.238095
37.78 0.740742 0.733854 -0.484097 0.233505
37.79 0.735877 0.736201 -0.476883 0.228826
37.8 0.731084 0.7385 -0.469541 0.22406
37.81 0.726365 0.740752 -0.46208 0.219207
37.82 0.721721 0.742955 -0.454505 0.214269
37.83 0.717153 0.745109 -0.446821 0.209247
37.84 0.712663 0.747212 -0.439035 0.204143
37.85 0.70825 0.749263 -0.431153 0.198957
37.86 0.703917 0.751263 -0.423181 0.193692
37.87 0.699664 0.75321 -0.415124 0.188349
37.88 0.695492 0.755102 -0.406987 0.18293
37.89 0.691402 0.756941 -0.398777 0.177437
37.9 0.687394 0.758724 -0.390498 0.171871
37.91 0.683469 0.760452 -0.382155 0.166234
37.92 0.679629 0.762122 -0.373753 0.160529
37.93 0.675872 0.763736 -0.365298 0.154758
37.94 0.672201 0.765291 -0.356794 0.148922
37.95 0.668615 0.766788 -0.348246 0.143023
37.96 0.665115 0.768225 -0.339658 0.137065
37.97 0.661702 0.769603 -0.331035 0.131049
37.98 0.658375 0.77092 -0.322382 0.124978
37.99 0.655135 0.772176 -0.313701 0.118854
38 0.651982 0.77337 -0.304999 0.112679
38.01 0.648917 0.774503 -0.296277 0.106456
38.02 0.645939 0.775572 -0.287542 0.100189
38.03 0.643049 0.776579 -0.278796 0.0938781
38.04 0.640247 0.777523 -0.270042 0.0875276
38.05 0.637533 0.778403 -0.261286 0.0811398
38.06 0.634907 0.779218 -0.25253 0.0747174
38.07 0.632369 0.779969 -0.243778 0.0682633
38.08 0.629919 0.780655 -0.235033 0.0617803
38.09 0.627557 0.781276 -0.226299 0.0552712
38.1 0.625283 0.781831 -0.217578 0.048739
38.11 0.623096 0.782321 -0.208874 0.0421865
38.12 0.620997 0.782745 -0.20019 0.0356167
38.13 0.618985 0.783103 -0.191529 0.0290325
38.14 0.61706 0.783395 -0.182894 0.0224369
38.15 0.615222 0.78362 -0.174288 0.0158329
38.16 0.61347 0.78378 -0.165713 0.00922355
38.17 0.611805 0.783872 -0.157173 0.00261177
38.18 0.610225 0.783899 -0.148669 -0.0039994
38.19 0.608731 0.783858 -0.140205 -0.0106069
38.2 0.607322 0.783752 -0.131783 -0.0172079
38.21 0.605998 0.783579 -0.123406 -0.0237992
38.22 0.604757 0.78334 -0.115075 -0.0303779
38.23 0.603601 0.783034 -0.106794 -0.0369409
38.24 0.602528 0.782663 -0.0985651 -0.0434855
38.25 0.601537 0.782226 -0.0903899 -0.0500085
38.26 0.600629 0.781723 -0.0822711 -0.0565071
38.27 0.599802 0.781155 -0.0742108 -0.0629784
38.28 0.599056 0.780523 -0.0662112 -0.0694195
38.29 0.59839 0.779825 -0.0582744 -0.0758275
38.3 0.597805 0.779063 -0.0504025 -0.0821997
38.31 0.597298 0.778237 -0.0425976 -0.0885333
38.32 0.59687 0.777347 -0.0348618 -0.0948256
38.33 0.59652 0.776394 -0.027197 -0.101074
38.34 0.596246 0.775378 -0.0196052 -0.107275
38.35 0.596049 0.7743 -0.0120884 -0.113428
38.36 0.595928 0.77316 -0.0046484 -0.119528
38.37 0.595881 0.771959 0.00271279 -0.125574
38.38 0.595908 0.770697 0.00999335 -0.131564
38.39 0.596009 0.769374 0.0171914 -0.137494
38.4 0.596182 0.767993 0.0243052 -0.143363
38.41 0.596426 0.766552 0.0313328 -0.149168
38.42 0.596741 0.765053 0.0382724 -0.154907
38.43 0.597125 0.763496 0.0451224 -0.160579
38.44 0.597579 0.761882 0.0518809 -0.16618
38.45 0.5981 0.760212 0.0585462 -0.171709
38.46 0.598689 0.758486 0.0651165 -0.177163
38.47 0.599343 0.756706 0.0715901 -0.182542
38.48 0.600063 0.754871 0.0779654 -0.187843
38.49 0.600846 0.752983 0.0842406 -0.193065
38.5 0.601693 0.751043 0.090414 -0.198206
38.51 0.602602 0.749051 0.096484 -0.203264
38.52 0.603571 0.747008 0.102449 -0.208237
38.53 0.604601 0.744915 0.108307 -0.213125
38.54 0.605689 0.742773 0.114057 -0.217926
38.55 0.606836 0.740583 0.119696 -0.222639
38.56 0.608039 0.738345 0.125224 -0.227262
38.57 0.609297 0.736061 0.130638 -0.231795
38.58 0.61061 0.733732 0.135938 -0.236236
38.59 0.611976 0.731358 0.141121 -0.240585
38.6 0.613395 0.72894 0.146186 -0.244839
38.61 0.614864 0.726479 0.151131 -0.249
38.62 0.616383 0.723976 0.155954 -0.253065
38.63 0.61795 0.721433 0.160655 -0.257035
38.64 0.619565 0.71885 0.165231 -0.260908
38.65 0.621225 0.716228 0.169681 -0.264685
38.66 0.622931 0.713568 0.174004 -0.268364
38.67 0.624679 0.710871 0.178197 -0.271945
38.68 0.62647 0.708137 0.182259 -0.275428
38.69 0.628302 0.705369 0.186189 -0.278813
38.7 0.630173 0.702567 0.189986 -0.282099
38.71 0.632083 0.699732 0.193647 -0.285286
38.72 0.634029 0.696865 0.197171 -0.288375
38.73 0.63601 0.693967 0.200557 -0.291365
38.74 0.638026 0.691038 0.203803 -0.294257
38.75 0.640074 0.688081 0.206908 -0.29705
38.76 0.642154 0.685096 0.20987 -0.299745
38.77 0.644263 0.682083 0.212688 -0.302342
38.78 0.6464 0.679045 0.215361 -0.304841
38.79 0.648565 0.675981 0.217887 -0.307243
38.8 0.650755 0.672893 0.220265 -0.309548
38.81 0.652968 0.669782 0.222493 -0.311756
38.82 0.655204 0.666649 0.224571 -0.313869
38.83 0.657461 0.663494 0.226496 -0.315886
38.84 0.659738 0.66032 0.228268 -0.317808
38.85 0.662032 0.657126 0.229886 -0.319637
38.86 0.664342 0.653913 0.231348 -0.321372
38.87 0.666667 0.650683 0.232653 -0.323014
38.88 0.669006 0.647437 0.2338 -0.324565
38.89 0.671355 0.644175 0.234788 -0.326025
38.9 0.673715 0.640899 0.235616 -0.327394
38.91 0.676083 0.637608 0.236282 -0.328675
38.92 0.678458 0.634305 0.236787 -0.329867
38.93 0.680837 0.63099 0.237129 -0.330972
38.94 0.683221 0.627663 0.237307 -0.33199
38.95 0.685606 0.624327 0.23732 -0.332923
38.96 0.687991 0.620981 0.237168 -0.333772
38.97 0.690374 0.617626 0.23685 -0.334538
38.98 0.692755 0.614264 0.236366 -0.335222
38.99 0.69513 0.610895 0.235714 -0.335825
39 0.697499 0.60752 0.234894 -0.336348
39.01 0.69986 0.60414 0.233906 -0.336792
39.02 0.702211 0.600755 0.232749 -0.337159
39.03 0.70455 0.597366 0.231423 -0.337449
39.04 0.706876 0.593975 0.229928 -0.337664
39.05 0.709186 0.590581 0.228264 -0.337806
39.06 0.711481 0.587186 0.22643 -0.337875
39.07 0.713756 0.583791 0.224426 -0.337872
39.08 0.716012 0.580395 0.222253 -0.337799
39.09 0.718245 0.577 0.219911 -0.337658
39.1 0.720456 0.573607 0.217399 -0.337448
39.11 0.72264 0.570215 0.214718 -0.337172
39.12 0.724798 0.566827 0.211869 -0.336831
39.13 0.726928 0.563441 0.208852 -0.336427
39.14 0.729027 0.56006 0.205667 -0.335959
39.15 0.731094 0.556684 0.202316 -0.33543
39.16 0.733127 0.553313 0.198798 -0.334841
39.17 0.735125 0.549947 0.195115 -0.334194
39.18 0.737086 0.546589 0.191267 -0.333488
39.19 0.739008 0.543237 0.187256 -0.332727
39.2 0.74089 0.539893 0.183083 -0.33191
39.21 0.74273 0.536557 0.178748 -0.33104
39.22 0.744527 0.53323 0.174254 -0.330117
39.23 0.746278 0.529913 0.169601 -0.329143
39.24 0.747982 0.526605 0.164792 -0.328118
39.25 0.749639 0.523307 0.159827 -0.327045
39.26 0.751245 0.52002 0.154708 -0.325924
39.27 0.7528 0.516745 0.149438 -0.324757
39.28 0.754302 0.513481 0.144017 -0.323544
39.29 0.755749 0.510229 0.138449 -0.322287
39.3 0.75714 0.50699 0.132734 -0.320987
39.31 0.758474 0.503764 0.126876 -0.319646
39.32 0.75975 0.500552 0.120876 -0.318264
39.33 0.760964 0.497353 0.114737 -0.316842
39.34 0.762117 0.494169 0.108462 -0.315382
39.35 0.763208 0.490999 0.102052 -0.313884
39.36 0.764233 0.487844 0.0955107 -0.31235
39.37 0.765193 0.484705 0.0888406 -0.310782
39.38 0.766086 0.481582 0.0820445 -0.309179
39.39 0.76691 0.478475 0.0751252 -0.307542
39.4 0.767666 0.475384 0.0680858 -0.305874
39.41 0.76835 0.47231 0.0609292 -0.304175
39.42 0.768962 0.469253 0.0536585 -0.302446
39.43 0.769501 0.466213 0.046277 -0.300688
39.44 0.769967 0.463191 0.0387879 -0.298902
39.45 0.770356 0.460187 0.0311945 -0.297088
39.46 0.77067 0.457201 0.0235002 -0.295248
39.47 0.770906 0.454234 0.0157084 -0.293383
39.48 0.771064 0.451285 0.00782255 -0.291494
39.49 0.771143 0.448356 -0.000153738 -0.289581
39.5 0.771141 0.445446 -0.00821691 -0.287645
39.51 0.771058 0.442555 -0.0163633 -0.285688
39.52 0.770894 0.439683 -0.0245894 -0.28371
39.53 0.770647 0.436832 -0.0328913 -0.281711
39.54 0.770316 0.434001 -0.0412655 -0.279693
39.55 0.769902 0.43119 -0.049708 -0.277656
39.56 0.769402 0.428399 -0.0582153 -0.275602
39.57 0.768817 0.42563 -0.0667835 -0.27353
39.58 0.768146 0.422881 -0.0754088 -0.271443
39.59 0.767388 0.420152 -0.0840874 -0.269339
39.6 0.766543 0.417446 -0.0928155 -0.267221
39.61 0.76561 0.41476 -0.101589 -0.265088
39.62 0.764589 0.412096 -0.110405 -0.262941
39.63 0.763479 0.409453 -0.119259 -0.260782
39.64 0.762281 0.406832 -0.128148 -0.258611
39.65 0.760993 0.404233 -0.137067 -0.256427
39.66 0.759615 0.401656 -0.146014 -0.254233
39.67 0.758148 0.399101 -0.154984 -0.252028
39.68 0.75659 0.396568 -0.163973 -0.249813
39.69 0.754942 0.394057 -0.172979 -0.247589
39.7 0.753204 0.391569 -0.181998 -0.245356
39.71 0.751375 0.389103 -0.191026 -0.243115
39.72 0.749455 0.38666 -0.200059 -0.240866
39.73 0.747444 0.384239 -0.209096 -0.23861
39.74 0.745343 0.381841 -0.218131 -0.236346
39.75 0.743151 0.379466 -0.227163 -0.234077
39.76 0.740867 0.377113 -0.236188 -0.231802
39.77 0.738494 0.374784 -0.245202 -0.229521
39.78 0.736029 0.372477 -0.254204 -0.227235
39.79 0.733475 0.370193 -0.263189 -0.224945
39.8 0.73083 0.367932 -0.272156 -0.22265
39.81 0.728094 0.365695 -0.281101 -0.220352
39.82 0.725269 0.36348 -0.290023 -0.218051
39.83 0.722354 0.361289 -0.298918 -0.215746
39.84 0.71935 0.35912 -0.307784 -0.213439
39.85 0.716257 0.356975 -0.316619 -0.211129
39.86 0.713075 0.354853 -0.325421 -0.208818
39.87 0.709804 0.352755 -0.334187 -0.206504
39.88 0.706446 0.350679 -0.342916 -0.20419
39.89 0.702999 0.348627 -0.351606 -0.201874
39.9 0.699466 0.346598 -0.360255 -0.199558
39.91 0.695845 0.344593 -0.368862 -0.197241
39.92 0.692138 0.34261 -0.377425 -0.194924
39.93 0.688345 0.340651 -0.385943 -0.192607
39.94 0.684466 0.338716 -0.394414 -0.19029
39.95 0.680502 0.336803 -0.402838 -0.187974
39.96 0.676453 0.334914 -0.411213 -0.185659
39.97 0.672321 0.333048 -0.419539 -0.183344
39.98 0.668104 0.331206 -0.427815 -0.181031
39.99 0.663805 0.329386 -0.43604 -0.178719
40 0.659422 0.32759 -0.444214 -0.176409
40.01 0.654958 0.325817 -0.452337 -0.1741
40.02 0.650412 0.324067 -0.460408 -0.171794
40.03 0.645785 0.322341 -0.468428 -0.169489
40.04 0.641077 0.320637 -0.476395 -0.167187
40.05 0.636289 0.318957 -0.484312 -0.164887
40.06 0.631422 0.3173 -0.492176 -0.16259
40.07 0.626475 0.315666 -0.499991 -0.160295
40.08 0.62145 0.314055 -0.507754 -0.158004
40.09 0.616347 0.312467 -0.515468 -0.155715
40.1 0.611167 0.310902 -0.523134 -0.153429
40.11 0.605909 0.30936 -0.530751 -0.151146
40.12 0.600575 0.307841 -0.538321 -0.148867
40.13 0.595165 0.306345 -0.545845 -0.146591
40.14 0.589679 0.304872 -0.553325 -0.144319
40.15 0.584118 0.303421 -0.560761 -0.14205
40.16 0.578482 0.301993 -0.568156 -0.139784
40.17 0.572772 0.300589 -0.57551 -0.137523
40.18 0.566988 0.299207 -0.582825 -0.135265
40.19 0.561131 0.297847 -0.590104 -0.13301
40.2 0.5552 0.29651 -0.597347 -0.13076
40.21 0.549196 0.295196 -0.604558 -0.128513
40.22 0.543121 0.293905 -0.611737 -0.126271
40.23 0.536973 0.292636 -0.618887 -0.124032
40.24 0.530753 0.291389 -0.626011 -0.121798
40.25 0.524461 0.290165 -0.63311 -0.119567
40.26 0.518098 0.288963 -0.640187 -0.117341
40.27 0.511664 0.287784 -0.647244 -0.115118
40.28 0.505159 0.286627 -0.654285 -0.1129
40.29 0.498584 0.285492 -0.661311 -0.110686
40.3 0.491937 0.28438 -0.668326 -0.108476
40.31 0.485221 0.28329 -0.675332 -0.10627
40.32 0.478433 0.282222 -0.682331 -0.104068
40.33 0.471576 0.281176 -0.689328 -0.10187
40.34 0.464648 0.280152 -0.696325 -0.099676
40.35 0.45765 0.27915 -0.703324 -0.0974863
40.36 0.450581 0.27817 -0.71033 -0.0953006
40.37 0.443442 0.277213 -0.717344 -0.093119
40.38 0.436233 0.276277 -0.724371 -0.0909414
40.39 0.428953 0.275363 -0.731414 -0.0887678
40.4 0.421602 0.274471 -0.738475 -0.0865981
40.41 0.41418 0.2736 -0.745559 -0.0844324
40.42 0.406687 0.272752 -0.752669 -0.0822705
40.43 0.399123 0.271925 -0.759807 -0.0801125
40.44 0.391487 0.27112 -0.766978 -0.0779583
40.45 0.383778 0.270336 -0.774185 -0.0758078
40.46 0.375998 0.269574 -0.781432 -0.0736611
40.47 0.368144 0.268834 -0.788722 -0.0715181
40.48 0.360217 0.268115 -0.796058 -0.0693786
40.49 0.352217 0.267418 -0.803445 -0.0672428
40.5 0.344142 0.266742 -0.810885 -0.0651104
40.51 0.335993 0.266088 -0.818383 -0.0629815
40.52 0.327768 0.265455 -0.825942 -0.060856
40.53 0.319467 0.264843 -0.833566 -0.0587339
40.54 0.311089 0.264253 -0.841258 -0.056615
40.55 0.302635 0.263684 -0.849023 -0.0544993
40.56 0.294102 0.263136 -0.856863 -0.0523868
40.57 0.28549 0.26261 -0.864783 -0.0502773
40.58 0.276799 0.262105 -0.872785 -0.0481709
40.59 0.268027 0.26162 -0.880875 -0.0460674
40.6 0.259174 0.261157 -0.889054 -0.0439668
40.61 0.250239 0.260716 -0.897328 -0.041869
40.62 0.241221 0.260295 -0.905699 -0.0397739
40.63 0.232118 0.259895 -0.914171 -0.0376814
40.64 0.222931 0.259516 -0.922747 -0.0355915
40.65 0.213657 0.259159 -0.931432 -0.0335041
40.66 0.204296 0.258822 -0.940228 -0.0314191
40.67 0.194847 0.258506 -0.949138 -0.0293365
40.68 0.185308 0.258211 -0.958167 -0.0272561
40.69 0.175678 0.257937 -0.967317 -0.0251779
40.7 0.165956 0.257684 -0.976591 -0.0231018
40.71 0.156141 0.257452 -0.985994 -0.0210277
40.72 0.146232 0.257241 -0.995527 -0.0189556
40.73 0.136227 0.25705 -1.00519 -0.0168853
40.74 0.126124 0.256881 -1.015 -0.0148167
40.75 0.115923 0.256732 -1.02494 -0.0127498
40.76 0.105623 0.256604 -1.03502 -0.0106846
40.77 0.0952205 0.256496 -1.04525 -0.00862081
40.78 0.0847156 0.25641 -1.05563 -0.00655848
40.79 0.0741063 0.256344 -1.06615 -0.00449749
40.8 0.0633913 0.256298 -1.07683 -0.00243776
40.81 0.0525691 0.256274 -1.08765 -0.0003792
40.82 0.041638 0.25627 -1.09864 0.00167827
40.83 0.0305965 0.256287 -1.10978 0.00373474
40.84 0.019443 0.256325 -1.12107 0.0057903
40.85 0.00817603 0.256383 -1.13253 0.00784502
40.86 -0.00320609 0.256462 -1.14415 0.00989899
40.87 -0.014705 0.256561 -1.15592 0.0119523
40.88 -0.0263222 0.256681 -1.16786 0.014005
40.89 -0.0380594 0.256822 -1.17996 0.0160573
40.9 -0.0499182 0.256983 -1.19222 0.0181091
40.91 -0.0619002 0.257165 -1.20464 0.0201606
40.92 -0.0740071 0.257368 -1.21722 0.0222118
40.93 -0.0862404 0.257591 -1.22996 0.0242629
40.94 -0.0986017 0.257835 -1.24286 0.0263139
40.95 -0.111093 0.258099 -1.25591 0.0283649
40.96 -0.123715 0.258385 -1.26912 0.030416
40.97 -0.13647 0.25869 -1.28247 0.0324672
40.98 -0.149359 0.259017 -1.29597 0.0345187
40.99 -0.162383 0.259363 -1.30962 0.0365704
41 -0.175545 0.259731 -1.3234 0.0386226
41.01 -0.188846 0.260119 -1.33732 0.0406752
41.02 -0.202286 0.260528 -1.35137 0.0427283
41.03 -0.215867 0.260957 -1.36554 0.044782
41.04 -0.229591 0.261407 -1.37983 0.0468364
41.05 -0.243459 0.261878 -1.39423 0.0488916
41.06 -0.257471 0.26237 -1.40872 0.0509476
41.07 -0.271629 0.262882 -1.42331 0.0530044
41.08 -0.285934 0.263414 -1.43799 0.0550622
41.09 -0.300386 0.263968 -1.45273 0.057121
41.1 -0.314986 0.264542 -1.46754 0.0591809
41.11 -0.329735 0.265136 -1.48239 0.0612419
41.12 -0.344633 0.265752 -1.49729 0.0633041
41.13 -0.359681 0.266388 -1.5122 0.0653676
41.14 -0.374879 0.267045 -1.52712 0.0674323
41.15 -0.390227 0.267723 -1.54203 0.0694984
41.16 -0.405724 0.268421 -1.55692 0.0715659
41.17 -0.421372 0.269141 -1.57176 0.0736349
41.18 -0.437168 0.269881 -1.58654 0.0757054
41.19 -0.453113 0.270641 -1.60123 0.0777774
41.2 -0.469206 0.271423 -1.61582 0.0798511
41.21 -0.485445 0.272226 -1.63028 0.0819263
41.22 -0.50183 0.273049 -1.64458 0.0840032
41.23 -0.518358 0.273893 -1.6587 0.0860819
41.24 -0.535028 0.274758 -1.67261 0.0881622
41.25 -0.551838 0.275644 -1.68629 0.0902444
41.26 -0.568786 0.276551 -1.6997 0.0923283
41.27 -0.585868 0.277479 -1.71281 0.094414
41.28 -0.603082 0.278428 -1.72559 0.0965016
41.29 -0.620424 0.279398 -1.738 0.098591
41.3 -0.637892 0.280389 -1.75001 0.100682
41.31 -0.65548 0.281401 -1.76158 0.102776
41.32 -0.673184 0.282434 -1.77266 0.104871
41.33 -0.690999 0.283488 -1.78322 0.106968
41.34 -0.708921 0.284563 -1.79322 0.109066
41.35 -0.726943 0.285659 -1.80261 0.111167
41.36 -0.74506 0.286776 -1.81135 0.11327
41.37 -0.763264 0.287915 -1.81938 0.115374
41.38 -0.781549 0.289074 -1.82666 0.117481
41.39 -0.799907 0.290255 -1.83314 0.119589
41.4 -0.818331 0.291457 -1.83877 0.121699
41.41 -0.836811 0.29268 -1.8435 0.123811
41.42 -0.855338 0.293924 -1.84726 0.125925
41.43 -0.873903 0.29519 -1.85002 0.12804
41.44 -0.892496 0.296476 -1.8517 0.130157
41.45 -0.911106 0.297785 -1.85227 0.132276
41.46 -0.929722 0.299114 -1.85165 0.134396
41.47 -0.948331 0.300465 -1.84979 0.136518
41.48 -0.966922 0.301837 -1.84664 0.138641
41.49 -0.985481 0.30323 -1.84213 0.140766
41.5 -1.00399 0.304645 -1.83621 0.142892
41.51 -1.02245 0.306081 -1.82883 0.14502
41.52 -1.04083 0.307538 -1.81992 0.147148
41.53 -1.05912 0.309017 -1.80943 0.149278
41.54 -1.0773 0.310517 -1.79731 0.151409
41.55 -1.09537 0.312039 -1.7835 0.15354
41.56 -1.11329 0.313582 -1.76795 0.155673
41.57 -1.13106 0.315147 -1.75062 0.157806
41.58 -1.14865 0.316733 -1.73145 0.15994
41.59 -1.16606 0.31834 -1.71041 0.162074
41.6 -1.18325 0.319969 -1.68745 0.164209
41.61 -1.2002 0.321619 -1.66254 0.166344
41.62 -1.21691 0.323291 -1.63564 0.168479
41.63 -1.23335 0.324984 -1.60673 0.170614
41.64 -1.2495 0.326699 -1.57578 0.172749
41.65 -1.26534 0.328435 -1.54277 0.174883
41.66 -1.28084 0.330193 -1.50769 0.177017
41.67 -1.29599 0.331972 -1.47053 0.17915
41.68 -1.31077 0.333772 -1.43129 0.181282
41.69 -1.32516 0.335594 -1.38997 0.183413
41.7 -1.33913 0.337438 -1.34659 0.185543
41.71 -1.35266 0.339302 -1.30115 0.187671
41.72 -1.36574 0.341188 -1.2537 0.189797
41.73 -1.37834 0.343096 -1.20424 0.191922
41.74 -1.39044 0.345025 -1.15284 0.194044
41.75 -1.40203 0.346975 -1.09953 0.196164
41.76 -1.41308 0.348946 -1.04436 0.198281
41.77 -1.42357 0.350939 -0.987398 0.200395
41.78 -1.4335 0.352953 -0.928714 0.202506
41.79 -1.44283 0.354988 -0.868381 0.204613
41.8 -1.45156 0.357045 -0.806482 0.206717
41.81 -1.45966 0.359122 -0.743109 0.208816
41.82 -1.46713 0.361221 -0.678356 0.210911
41.83 -1.47395 0.363341 -0.612328 0.213002
41.84 -1.4801 0.365481 -0.545133 0.215087
41.85 -1.48558 0.367643 -0.476886 0.217167
41.86 -1.49037 0.369826 -0.407707 0.219241
41.87 -1.49447 0.372029 -0.337721 0.221309
41.88 -1.49787 0.374253 -0.267055 0.223371
41.89 -1.50055 0.376498 -0.195842 0.225425
41.9 -1.50252 0.378764 -0.124217 0.227473
41.91 -1.50377 0.38105 -0.0523157 0.229513
41.92 -1.50429 0.383356 0.0197222 0.231545
41.93 -1.50409 0.385684 0.0917577 0.233568
41.94 -1.50317 0.388031 0.163651 0.235582
41.95 -1.50153 0.390399 0.235263 0.237587
41.96 -1.49916 0.392786 0.306457 0.239583
41.97 -1.49608 0.395194 0.377096 0.241567
41.98 -1.49229 0.397622 0.447047 0.243541
41.99 -1.4878 0.40007 0.51618 0.245504
42 -1.48261 0.402537 0.584368 0.247455
42.01 -1.47674 0.405024 0.651491 0.249394
42.02 -1.47019 0.40753 0.71743 0.25132
42.03 -1.46298 0.410056 0.782075 0.253232
42.04 -1.45512 0.412601 0.84532 0.25513
42.05 -1.44663 0.415165 0.907066 0.257014
42.06 -1.43751 0.417748 0.96722 0.258883
42.07 -1.42779 0.42035 1.0257 0.260736
42.08 -1.41748 0.422971 1.08242 0.262572
42.09 -1.4066 0.42561 1.13731 0.264392
42.1 -1.39517 0.428267 1.19032 0.266194
42.11 -1.38321 0.430942 1.24138 0.267978
42.12 -1.37073 0.433635 1.29044 0.269743
42.13 -1.35776 0.436346 1.33747 0.271488
42.14 -1.34432 0.439075 1.38243 0.273214
42.15 -1.33043 0.441821 1.42529 0.274918
42.16 -1.3161 0.444584 1.46605 0.2766
42.17 -1.30137 0.447363 1.50467 0.27826
42.18 -1.28625 0.45016 1.54117 0.279897
42.19 -1.27076 0.452973 1.57555 0.28151
42.2 -1.25492 0.455802 1.6078 0.283098
42.21 -1.23877 0.458647 1.63794 0.284661
42.22 -1.2223 0.461508 1.666 0.286197
42.23 -1.20556 0.464385 1.692 0.287707
42.24 -1.18856 0.467276 1.71597 0.289188
42.25 -1.17131 0.470182 1.73793 0.290641
42.26 -1.15384 0.473103 1.75794 0.292064
42.27 -1.13618 0.476039 1.77603 0.293457
42.28 -1.11833 0.478988 1.79224 0.294819
42.29 -1.10031 0.481951 1.80663 0.296148
42.3 -1.08216 0.484927 1.81924 0.297445
42.31 -1.06387 0.487917 1.83014 0.298707
42.32 -1.04548 0.490919 1.83936 0.299935
42.33 -1.02699 0.493933 1.84697 0.301127
42.34 -1.00843 0.49696 1.85303 0.302282
42.35 -0.989808 0.499998 1.8576 0.303399
42.36 -0.971139 0.503047 1.86073 0.304478
42.37 -0.952439 0.506107 1.86249 0.305517
42.38 -0.93372 0.509177 1.86293 0.306516
42.39 -0.914997 0.512258 1.86211 0.307474
42.4 -0.896283 0.515348 1.8601 0.308388
42.41 -0.877589 0.518447 1.85696 0.30926
42.42 -0.858926 0.521556 1.85273 0.310087
42.43 -0.840306 0.524672 1.84748 0.310868
42.44 -0.821738 0.527796 1.84127 0.311603
42.45 -0.803233 0.530928 1.83415 0.31229
42.46 -0.784799 0.534066 1.82618 0.312929
42.47 -0.766446 0.537211 1.8174 0.313519
42.48 -0.748181 0.540362 1.80787 0.314058
42.49 -0.730011 0.543519 1.79765 0.314545
42.5 -0.711945 0.54668 1.78677 0.314979
42.51 -0.693987 0.549845 1.77529 0.31536
42.52 -0.676145 0.553015 1.76325 0.315687
42.53 -0.658424 0.556188 1.7507 0.315957
42.54 -0.64083 0.559363 1.73768 0.316171
42.55 -0.623366 0.562541 1.72422 0.316327
42.56 -0.606037 0.56572 1.71037 0.316424
42.57 -0.588848 0.5689 1.69616 0.316462
42.58 -0.571801 0.57208 1.68164 0.316438
42.59 -0.5549 0.575261 1.66682 0.316353
42.6 -0.538148 0.57844 1.65176 0.316205
42.61 -0.521548 0.581618 1.63647 0.315993
42.62 -0.505101 0.584794 1.62098 0.315716
42.63 -0.48881 0.587967 1.60533 0.315373
42.64 -0.472676 0.591136 1.58954 0.314964
42.65 -0.456701 0.594302 1.57364 0.314487
42.66 -0.440886 0.597462 1.55764 0.313941
42.67 -0.425231 0.600618 1.54157 0.313326
42.68 -0.409738 0.603766 1.52546 0.31264
42.69 -0.394407 0.606909 1.50931 0.311883
42.7 -0.379238 0.610043 1.49316 0.311053
42.71 -0.364231 0.613169 1.477 0.31015
42.72 -0.349387 0.616286 1.46088 0.309174
42.73 -0.334705 0.619393 1.44478 0.308123
42.74 -0.320185 0.62249 1.42874 0.306996
42.75 -0.305826 0.625576 1.41276 0.305793
42.76 -0.291627 0.628649 1.39685 0.304513
